Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_WHITE, se_WHITE, t_WHITE, est_HISP, se_HISP, t_HISP, est_BLWPOV, se_BLWPOV, t_BLWPOV, est_MEDINC, se_MEDINC, t_MEDINC, est_UPTOHIGH, se_UPTOHIGH, t_UPTOHIGH, est_INS, se_INS, t_INS, est_MEDICARE, se_MEDICARE, t_MEDICARE, est_MEDICAID, se_MEDICAID, t_MEDICAID, est_Male, se_Male, t_Male, est_POPDEN, se_POPDEN, t_POPDEN, y, yhat, residual, std_residual, localR2, influence, CooksD
 1908, 7008, 1743849.881, 7523059.761,   -118222.198674,    110546.421822,        -1.069435,    -26262.377426,     18590.715458,        -1.412661,    -17202.630702,     15860.907940,        -1.084593,      9803.497627,     27789.388305,         0.352778,     24065.854210,     20388.231723,         1.180380,     33803.460329,     19127.626414,         1.767258,     18763.483183,     24414.261829,         0.768546,      5346.016297,     45470.582849,         0.117571,     25325.902362,     27002.418471,         0.937912,     40340.851888,     33540.012516,         1.202768,     -5547.208944,      2049.490096,        -2.706629,     16285.935190,     15576.007260,       709.927930,         0.092607,         0.601785,         0.328173,         0.000007
 1909, 15515, 1236654.315, 7772030.669,    -44770.382549,     81799.636364,        -0.547318,     19606.252760,     14501.951360,         1.351973,     13596.789684,     11996.721784,         1.133375,    -24446.260608,     21452.039188,        -1.139577,      3683.895150,     16264.360451,         0.226501,      3832.976875,     15513.152262,         0.247079,     37063.873713,     18011.496200,         2.057790,     44257.638617,     49757.119640,         0.889473,     21095.857174,     29859.467863,         0.706505,    -13233.608309,     27012.871326,        -0.489900,     -5263.304369,      1461.597643,        -3.601062,     23406.498960,     21717.071427,      1689.427533,         0.209024,         0.546740,         0.253205,         0.000024
 1910, 15187, 1479976.973, 7813026.488,    139471.087316,     82240.799795,         1.695887,     47484.657937,     18407.079181,         2.579695,    -52986.049748,     11109.270215,        -4.769535,    -39769.969028,     21327.452131,        -1.864731,    -13298.043156,     17501.196457,        -0.759836,     29690.156614,     15702.803169,         1.890755,   -108994.569370,     19928.441619,        -5.469297,     16120.992035,     55484.608808,         0.290549,     34509.374996,     24261.869461,         1.422371,    -11878.076636,     22103.171082,        -0.537392,     -4580.495719,      1264.473119,        -3.622454,       817.117716,     13592.146849,    -12775.029133,        -1.546327,         0.693367,         0.219748,         0.001105
 1911, 13995, 1521103.687, 7233182.009,    111534.192110,     81476.822118,         1.368907,     38533.791113,     26866.351897,         1.434277,    -28634.977417,      8410.327246,        -3.404740,     17418.562348,     20051.772685,         0.868679,    -27782.266674,     14912.312342,        -1.863042,     33150.846570,     13654.612411,         2.427813,     19475.042438,     18405.344578,         1.058119,    -17684.265347,     43130.401019,        -0.410019,    -31628.439807,     18766.280036,        -1.685387,     -7211.941608,     22063.148226,        -0.326877,     -5356.570080,      1565.573654,        -3.421474,      1522.961467,     10502.894206,     -8979.932739,        -1.130617,         0.728477,         0.278845,         0.000811
 1912, 12919, 1314138.708, 7475665.297,    -21173.564810,     65062.368459,        -0.325435,     15914.196639,     12146.872776,         1.310148,     10090.332204,      9415.230264,         1.071703,      -135.049125,     21113.661727,        -0.006396,      3831.654482,     12928.213681,         0.296379,     -4235.156386,     12888.775552,        -0.328593,      9216.732687,     15380.854347,         0.599234,     73722.912589,     39106.699468,         1.885173,      4662.286271,     25958.402198,         0.179606,       -14.237608,     19122.215118,        -0.000745,     -7060.869697,      1273.841779,        -5.542972,     17787.617420,     22633.729323,     -4846.111903,        -0.572806,         0.723151,         0.181752,         0.000120
 1913, 7512, 1259064.475, 7484626.088,     25079.043485,     72245.953880,         0.347134,      5032.796017,     12801.267286,         0.393148,     -1914.514269,      9313.592696,        -0.205561,      -861.901551,     20260.188439,        -0.042542,     -4827.158459,     14037.050905,        -0.343887,      6948.907312,     13150.872885,         0.528399,      3800.634053,     13955.719313,         0.272335,    -14295.904289,     37981.918582,        -0.376387,      1720.188096,     22779.406477,         0.075515,     16140.677889,     20137.348691,         0.801529,     -6345.610824,      1115.015457,        -5.691052,     19593.332000,     20807.383225,     -1214.051225,        -0.163245,         0.816421,         0.367724,         0.000025
 1914, 2910, 1958892.233, 7557044.141,    -46572.176700,     88351.070641,        -0.527126,      8771.704977,     11415.201331,         0.768423,    -28180.354924,     16190.235839,        -1.740577,     12463.513011,     20929.896054,         0.595489,     14654.688307,     18249.036796,         0.803039,     25067.802719,     20478.762749,         1.224088,     -5528.627139,     21738.799858,        -0.254321,    -32880.341666,     39077.919840,        -0.841405,      2386.093867,     24676.178485,         0.096696,    -25067.616899,     25102.934521,        -0.998593,     -5166.940087,      2685.828540,        -1.923779,     16098.881580,      8874.005933,      7224.875647,         0.924251,         0.797520,         0.301455,         0.000605
 1915, 9267, 1825693.812, 7195294.445,     23666.531386,     83214.895198,         0.284403,      9156.889092,     11334.266458,         0.807894,    -11533.042464,      9778.704583,        -1.179404,    -20206.819397,     21298.871680,        -0.948727,     -5399.269734,     16693.018925,        -0.323445,     15184.983192,     16042.801506,         0.946529,     -1413.641929,     19397.713429,        -0.072877,    -15135.468866,     42508.738367,        -0.356055,     -1565.804037,     24165.524135,        -0.064795,     24093.879418,     29144.443046,         0.826706,     -3997.569890,      1644.716494,        -2.430553,     15309.177780,     19267.842100,     -3958.664320,        -0.515160,         0.783052,         0.324965,         0.000210
 1916, 11427, 2060390.154, 7434046.298,    -15798.695165,     75789.705389,        -0.208454,     26465.521862,     10436.030015,         2.535976,     -1695.339362,     22035.036800,        -0.076938,     -8967.459471,     17068.595972,        -0.525378,      8191.805779,     15913.762228,         0.514762,      7324.879349,     15672.403981,         0.467374,    -14287.966258,     14795.639139,        -0.965688,     39870.889803,     35375.704078,         1.127070,     15902.355464,     15900.066523,         1.000144,    -31843.611943,     22198.281917,        -1.434508,     -4349.500185,      3201.379806,        -1.358633,     11117.179420,     17899.951310,     -6782.771890,        -0.786337,         0.714457,         0.149428,         0.000178
 1917, 12414, 1676227.623, 7634758.434,    135751.872064,     73089.563229,         1.857336,     -5125.884097,     20324.197474,        -0.252206,      3250.239374,     13546.046813,         0.239940,    -16563.937121,     20711.902113,        -0.799730,    -17775.721735,     14554.800516,        -1.221296,     -4171.878011,     15352.661948,        -0.271736,    -12896.124200,     16422.674492,        -0.785263,    -43320.388077,     48111.361990,        -0.900419,    -12063.860039,     20775.720502,        -0.580671,    -12202.220781,     20963.141428,        -0.582080,     -8294.409394,      1609.620303,        -5.153022,      3633.247796,     -1078.730227,      4711.978023,         0.553260,         0.834505,         0.170795,         0.000103
