Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_WHITE, se_WHITE, t_WHITE, est_HISP, se_HISP, t_HISP, est_BLWPOV, se_BLWPOV, t_BLWPOV, est_MEDINC, se_MEDINC, t_MEDINC, est_UPTOHIGH, se_UPTOHIGH, t_UPTOHIGH, est_INS, se_INS, t_INS, est_MEDICARE, se_MEDICARE, t_MEDICARE, est_MEDICAID, se_MEDICAID, t_MEDICAID, est_Male, se_Male, t_Male, est_POPDEN, se_POPDEN, t_POPDEN, y, yhat, residual, std_residual, localR2, influence, CooksD
  241, 9708, 1254381.903, 7428615.364,    241571.910606,    104339.905631,         2.315240,    -45404.035559,     33540.133005,        -1.353723,     -5329.342426,     16743.707919,        -0.318289,    -39425.427022,     29810.074137,        -1.322554,    -23373.520373,     21056.541845,        -1.110036,      -368.034054,     20642.497047,        -0.017829,    -11761.735663,     25327.943441,        -0.464378,     46462.952858,     49368.530123,         0.941145,     32041.845578,     36639.045179,         0.874527,    -68381.926201,     29188.662704,        -2.342756,    -12904.374963,      1915.444449,        -6.737013,     29778.664620,     37544.890083,     -7766.225463,        -0.476976,         0.630929,         0.129142,         0.000734
  242, 14007, 1035826.895, 7441705.47,    417867.095296,    116664.011098,         3.581799,    -40827.027659,     38026.439549,        -1.073648,    -28310.653090,     19414.601851,        -1.458214,    -88134.611160,     33776.578354,        -2.609341,    -53163.246456,     23605.207388,        -2.252183,     27153.291486,     23300.796924,         1.165337,    -51435.685425,     26588.288336,        -1.934524,     12562.721447,     53159.823255,         0.236320,     83422.382556,     43120.845750,         1.934618,    -80738.183126,     31534.674151,        -2.560299,    -12188.579086,      2077.331857,        -5.867420,      5632.700476,     22152.994886,    -16520.294410,        -1.166152,         0.591470,         0.340757,         0.015292
  243, 3895, 1590622.381, 7143942.357,     90557.220806,     98579.272434,         0.918623,     14838.905749,     30560.412686,         0.485560,     25448.987970,     13807.329822,         1.843151,    -15681.316860,     24566.237985,        -0.638328,    -18502.620235,     18688.515578,        -0.990053,     10020.097282,     17992.070255,         0.556917,     23724.518271,     24386.220861,         0.972866,    -34379.295741,     59006.916387,        -0.582632,    -18359.954467,     23389.603560,        -0.784962,    -28530.490151,     27549.601049,        -1.035604,    -10853.236076,      1849.715697,        -5.867516,     30414.820200,     33598.610102,     -3183.789902,        -0.202011,         0.667579,         0.184061,         0.000200
  244, 13700, 1468607.362, 7375506.262,    -82755.980498,    119367.928501,        -0.693285,     -1293.668024,     36403.666936,        -0.035537,    -29531.941197,     14129.089050,        -2.090152,     33327.926047,     28229.974229,         1.180586,     17393.097052,     21899.232494,         0.794233,     50215.247982,     23245.364024,         2.160226,     38543.191375,     33122.015005,         1.163673,    136192.394660,     61011.190061,         2.232253,    -36452.305671,     29963.018615,        -1.216577,    -12457.689569,     38832.919298,        -0.320802,     -6863.727104,      2580.561909,        -2.659780,     30383.172870,     37889.031700,     -7505.858830,        -0.524695,         0.608332,         0.327788,         0.002921
  245, 709, 1114488.37, 7362237.495,    407689.669404,    113451.779881,         3.593506,    -33086.376446,     36858.133578,        -0.897668,    -27817.646294,     18999.603301,        -1.464117,    -80676.838582,     32514.621987,        -2.481248,    -53015.003478,     22924.283980,        -2.312613,     27986.629485,     22706.484022,         1.232539,    -51003.470277,     26079.496941,        -1.955692,     16211.927237,     52347.655900,         0.309697,     75910.557457,     41449.465363,         1.831400,    -76879.681686,     30911.218488,        -2.487113,    -12527.385590,      2040.149915,        -6.140424,     34053.807910,     -3542.455341,     37596.263251,         2.445041,         0.611050,         0.223329,         0.037398
  246, 11808, 1683989.607, 7014442.401,    -16505.084111,     87688.355527,        -0.188224,     19727.060034,     35287.335534,         0.559041,      1833.584372,     24180.294043,         0.075830,     -2750.957672,     20523.289821,        -0.134041,      4799.475224,     17173.406228,         0.279471,     -5224.573750,     15111.823763,        -0.345728,     24394.050756,     19035.119721,         1.281529,     38029.729209,     55281.955374,         0.687923,     -7835.972910,     20556.625787,        -0.381190,     17116.996972,     26966.930235,         0.634740,     -7208.488839,      1775.265565,        -4.060513,     40699.722060,     20875.676916,     19824.045144,         1.285213,         0.370799,         0.218454,         0.010044
  247, 13065, 1618098.522, 6919780.866,      5235.043388,     91693.963716,         0.057093,     29576.771533,     38173.282345,         0.774803,    -50644.073252,     28870.806448,        -1.754162,      -952.924598,     21701.439210,        -0.043911,      7443.182529,     18023.350846,         0.412974,      -119.502304,     15797.022935,        -0.007565,     23651.721190,     19669.256841,         1.202472,     26418.287575,     57823.899201,         0.456875,     -6181.468967,     22042.361209,        -0.280436,     17505.471017,     28650.321641,         0.611004,     -6382.647699,      1857.307073,        -3.436506,      4124.647394,     22455.006861,    -18330.359467,        -1.161610,         0.345917,         0.182022,         0.006532
  248, 9133, 1424527.485, 7248851.184,     73798.776390,    102827.142485,         0.717697,     25000.246611,     33845.503380,         0.738658,    -18155.620435,     12995.953431,        -1.397021,     -1804.885139,     26656.482912,        -0.067709,    -15543.875586,     20173.682351,        -0.770503,     18411.927043,     19765.044731,         0.931540,     16966.303743,     26536.204504,         0.639364,     42718.480900,     56122.576390,         0.761164,     -9202.818492,     26328.863155,        -0.349533,     -5826.997527,     31396.404204,        -0.185594,     -8622.647898,      2134.141064,        -4.040336,     11217.649580,     22271.753595,    -11054.104015,        -0.739137,         0.718237,         0.265287,         0.004292
  249, 12816, 1571140.977, 7197672.992,    151307.593762,    122978.053169,         1.230363,     10933.726009,     35620.831031,         0.306948,    -13310.846313,     13909.614033,        -0.956953,      1970.226273,     29186.985343,         0.067504,    -29049.707635,     23236.454564,        -1.250178,     10215.369229,     20495.391776,         0.498423,     15902.442140,     28584.687721,         0.556327,    -15702.850915,     69407.534522,        -0.226241,    -11703.702375,     27002.340860,        -0.433433,     -9738.397851,     31808.789266,        -0.306154,     -7302.233216,      2114.228391,        -3.453853,     15636.474520,     15634.909126,         1.565394,         0.000101,         0.638680,         0.211544,         0.000000
  250, 11806, 1683794.056, 7013040.433,    -16206.438004,     87673.694074,        -0.184849,     19824.715546,     35291.073595,         0.561749,      1109.235788,     24211.491367,         0.045814,     -2737.869450,     20525.562863,        -0.133388,      4825.703671,     17173.249908,         0.281001,     -5167.667963,     15109.110855,        -0.342023,     24386.967924,     19036.247019,         1.281081,     37956.126296,     55270.996086,         0.686728,     -7770.649181,     20564.660197,        -0.377864,     17208.746326,     26970.798542,         0.638051,     -7189.336520,      1775.354125,        -4.049523,     41849.500240,     25339.222644,     16510.277596,         1.050379,         0.370519,         0.188410,         0.005572
  251, 13089, 1592180.674, 6958211.338,     -5668.598024,     91487.596663,        -0.061960,     35433.374252,     37725.338665,         0.939246,    -51624.859494,     28225.805430,        -1.828995,      1847.764885,     21681.558015,         0.085223,      9245.427526,     18048.536753,         0.512254,        34.879838,     15877.688007,         0.002197,     22563.656351,     19721.407295,         1.144120,     32463.897873,     57968.491542,         0.560027,     -9932.706766,     22049.741887,        -0.450468,     16809.917410,     28640.480956,         0.586929,     -6608.236337,      1865.750823,        -3.541864,     44999.921160,     60793.862518,    -15793.941358,        -1.215696,         0.346787,         0.445565,         0.025839
  252, 12831, 1147838.228, 7486699.109,    340055.219176,    111425.669632,         3.051857,    -44449.557527,     35525.269676,        -1.251210,    -17786.763972,     18146.710463,        -0.980165,    -66926.128524,     31959.216032,        -2.094110,    -39848.215566,     22504.696815,        -1.770662,     13233.970931,     22065.182361,         0.599767,    -32726.757185,     26021.657824,        -1.257674,     22243.988602,     51342.854713,         0.433244,     63887.661823,     40565.742648,         1.574917,    -75546.568909,     30197.784199,        -2.501726,    -12404.292535,      2003.639720,        -6.190880,     19599.722330,     40660.199774,    -21060.477444,        -1.408996,         0.597610,         0.266100,         0.015660
  253, 577, 1662855.917, 7086586.295,    -20992.142656,    106313.253158,        -0.197456,     23576.511951,     40147.466363,         0.587248,     63609.740979,     25757.784637,         2.469535,      5946.869256,     25552.327265,         0.232733,       339.638230,     20751.342018,         0.016367,     -6590.441659,     20586.571284,        -0.320133,     19395.238309,     26126.037627,         0.742372,    -10803.478465,     73602.089600,        -0.146782,    -17044.603877,     25210.292901,        -0.676097,    -19989.637584,     33191.169278,        -0.602258,    -10324.748006,      2093.537051,        -4.931725,     32614.813020,     47057.002171,    -14442.189151,        -1.032719,         0.391971,         0.357576,         0.012914
  254, 9131, 1422479.258, 7248753.473,     74311.562919,    102690.908196,         0.723643,     23656.030534,     33643.314424,         0.703142,    -17960.181325,     12983.675777,        -1.383289,     -1828.018567,     26607.029647,        -0.068704,    -15340.852658,     20108.192522,        -0.762916,     18426.315101,     19729.590926,         0.933943,     17224.868414,     26488.494098,         0.650277,     42991.033346,     56017.825162,         0.767453,     -9402.169027,     26315.774489,        -0.357283,     -6499.719015,     31336.896048,        -0.207414,     -8685.948526,      2126.240482,        -4.085120,      9229.858903,     11099.551361,     -1869.692458,        -0.148056,         0.718048,         0.476150,         0.000433
  255, 6730, 1506055.381, 7185487.998,    127558.259099,    100885.620357,         1.264385,      7640.761346,     31001.539416,         0.246464,    -10114.797231,     13003.746501,        -0.777837,     -5168.404974,     24747.162671,        -0.208848,    -23488.124913,     19668.086815,        -1.194225,      3959.167320,     18047.305491,         0.219377,     11834.776144,     25074.663566,         0.471981,     -3877.658534,     58622.315415,        -0.066146,     -3183.227294,     23588.962102,        -0.134946,     -2582.489857,     29131.780376,        -0.088649,     -7043.942175,      1934.174566,        -3.641834,     30705.740470,     30330.093663,       375.646807,         0.026911,         0.638561,         0.359926,         0.000009
